Gene	sgRNA	eff
ksgA	ksgA|91	1
ksgA	ksgA|76	1
ksgA	ksgA|64	1
ksgA	ksgA|12	1
sll1680	sll1680|103	1
sll1680	sll1680|154	1
sll1680	sll1680|31	1
sll1680	sll1680|189	1
sll1680	sll1680|76	1
sll0703	sll0703|131	1
sll0703	sll0703|72	1
sll0703	sll0703|25	1
sll0703	sll0703|5	1
sll0703	sll0703|49	1
sll0702	sll0702|70	1
sll0702	sll0702|20	1
sll0702	sll0702|4	1
sll0702	sll0702|46	1
sll0702	sll0702|34	1
ycf4	ycf4|128	1
ycf4	ycf4|172	1
ycf4	ycf4|97	1
ycf4	ycf4|116	1
ycf4	ycf4|41	1
sll1319	sll1319|201	1
sll1319	sll1319|44	1
sll1319	sll1319|145	1
sll1319	sll1319|220	1
sll1319	sll1319|158	1
sll1318	sll1318|3	1
sll1318	sll1318|136	1
sll1318	sll1318|26	1
sll1318	sll1318|123	1
sll1318	sll1318|38	1
slr1127	slr1127|178	1
slr1127	slr1127|48	1
slr1127	slr1127|199	1
slr1127	slr1127|33	1
slr1127	slr1127|100	1
slr1122	slr1122|55	1
slr1122	slr1122|21	1
slr1122	slr1122|33	1
slr1122	slr1122|44	1
slr1122	slr1122|4	1
rfbD	rfbD|163	1
rfbD	rfbD|76	1
rfbD	rfbD|199	1
rfbD	rfbD|115	1
rfbD	rfbD|174	1
psbA2	psbA2|926	1
psbA2	psbA2|460	1
glgX	glgX|109	1
glgX	glgX|50	1
glgX	glgX|21	1
glgX	glgX|34	1
glgX	glgX|3	1
pleD	pleD|108	1
pleD	pleD|15	1
pleD	pleD|88	1
pleD	pleD|245	1
pleD	pleD|267	1
slr1128	slr1128|204	1
slr1128	slr1128|181	1
slr1128	slr1128|223	1
slr1128	slr1128|247	1
slr1128	slr1128|316	1
purL	purL|31	1
purL	purL|45	1
purL	purL|17	1
purL	purL|61	1
purL	purL|110	1
gpmB	gpmB|19	1
gpmB	gpmB|4	1
gpmB	gpmB|60	1
gpmB	gpmB|73	1
gpmB	gpmB|30	1
slr1103	slr1103|8	1
slr1103	slr1103|78	1
slr1103	slr1103|139	1
slr1103	slr1103|52	1
slr1103	slr1103|151	1
